Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura,Chrome 110.0.0.0,,,2023-02-23 22:39:28,2023-02-23 22:39:50,21.948s,FAILED
,,,,,,,
Test Cases/Web/Login/Positive/TCP-LoginCura,Chrome 110.0.0.0,,,2023-02-23 22:39:28,2023-02-23 22:39:38,10.185s,FAILED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-23 22:39:29,2023-02-23 22:39:38,9.416s,PASSED
navigateToUrl(url),Chrome 110.0.0.0,,,2023-02-23 22:39:38,2023-02-23 22:39:38,0.370s,FAILED
,,,,,,,
Test Cases/Web/Login/Negative/TCN-LoginCura,Chrome 110.0.0.0,,,2023-02-23 22:39:39,2023-02-23 22:39:44,5.948s,FAILED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-02-23 22:39:39,2023-02-23 22:39:44,5.378s,PASSED
navigateToUrl(url),Chrome 110.0.0.0,,,2023-02-23 22:39:44,2023-02-23 22:39:44,0.215s,FAILED
,,,,,,,
Test Cases/Web/Appointment/Positive/TCP-FillForm,Chrome 110.0.0.0,,,2023-02-23 22:39:44,2023-02-23 22:39:50,5.259s,FAILED
"callTestCase(findTestCase(""Web/Login/Positive/TCP-LoginCura""), [:], STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-23 22:39:45,2023-02-23 22:39:50,4.991s,FAILED
